Merchant_ID,Merchant_Name,Merchant_Category,City,State,Merchant_Risk_Score,Merchant_Type,Partner_Offer_Eligible
MERCH_0065,Yatra Outlet 972,Travel,Surat,Gujarat,13,Online,True
MERCH_0066,Barbeque Nation Outlet 491,Dining_Out,Mumbai,Maharashtra,27,Hybrid,True
MERCH_0067,Shoppers Stop Outlet 668,Shopping,Kochi,Kerala,44,Online,False
MERCH_0068,Zoomcar Outlet 678,Travel,Ludhiana,Punjab,11,Retail,False
MERCH_0069,Taj Dining Outlet 501,Dining_Out,Pune,Maharashtra,31,Hybrid,False
MERCH_0070,Local Clinic Outlet 943,Healthcare,Mysore,Karnataka,22,Online,True
MERCH_0071,Westside Outlet 292,Shopping,Chennai,Tamil Nadu,5,Online,False
MERCH_0072,Haldirams Outlet 433,Food,Udaipur,Rajasthan,24,Online,False
MERCH_0073,Amazon Outlet 311,Shopping,Noida,Uttar Pradesh,24,Online,False
MERCH_0074,Reliance Petroleum Outlet 954,Fuel,Kolkata,West Bengal,13,Retail,False
MERCH_0075,KFC Outlet 798,Food,Ludhiana,Punjab,43,Online,False
MERCH_0076,SBI General Insurance Outlet 916,Insurance,Jaipur,Rajasthan,5,Hybrid,False
MERCH_0077,Apollo Clinic Outlet 118,Healthcare,Surat,Gujarat,37,Online,False
MERCH_0078,Youtube Premium Digital,Subscription,Bangalore,Karnataka,96,Online,True
MERCH_0079,Zerodha Fund Digital,Investment,Lucknow,Uttar Pradesh,22,Online,False
MERCH_0080,Domino's Outlet 603,Food,Bangalore,Karnataka,32,Online,True
MERCH_0081,BESCOM Outlet 664,Utility,Coimbatore,Tamil Nadu,33,Online,False
MERCH_0082,Hard Rock Cafe Outlet 982,Dining_Out,Kolkata,West Bengal,13,Online,True
MERCH_0083,Punjab Grill Outlet 463,Dining_Out,Trivandrum,Kerala,42,Hybrid,False
MERCH_0084,MedPlus Outlet 90,Healthcare,Coimbatore,Tamil Nadu,39,Hybrid,False
MERCH_0085,Groww SIP Digital,Investment,Bangalore,Karnataka,35,Online,False
MERCH_0086,DAV College Outlet 805,Education,Trivandrum,Kerala,22,Hybrid,True
MERCH_0087,DPS School Outlet 643,Education,Surat,Gujarat,7,Hybrid,False
MERCH_0088,Local Tailor Outlet 72,Other,Chennai,Tamil Nadu,36,Retail,False
MERCH_0089,Ajio Outlet 389,Shopping,Mumbai,Maharashtra,38,Online,False
MERCH_0090,Indian Oil Outlet 202,Fuel,Lucknow,Uttar Pradesh,33,Retail,False
MERCH_0091,Spotify Family Digital,Subscription,Ahmedabad,Gujarat,31,Online,False
MERCH_0092,Subway Outlet 585,Food,Bangalore,Karnataka,16,Retail,False
MERCH_0093,MakeMyTrip Outlet 886,Travel,Chandigarh,Punjab,28,Hybrid,False
MERCH_0094,Mutual Fund Direct Digital,Investment,Udaipur,Rajasthan,31,Online,False
MERCH_0095,Nykaa Outlet 551,Shopping,Kolkata,West Bengal,41,Retail,False
MERCH_0096,Local Pub Outlet 655,Dining_Out,Delhi,Delhi,13,Online,True
MERCH_0097,Cred RentPay Outlet 647,Rent,Kochi,Kerala,36,Retail,False
MERCH_0098,Indian Oil Outlet 314,Fuel,Jaipur,Rajasthan,26,Retail,False
MERCH_0099,Hard Rock Cafe Outlet 563,Dining_Out,Pune,Maharashtra,25,Retail,False
MERCH_0100,Shell Petrol Outlet 148,Fuel,Hyderabad,Telangana,5,Retail,True
MERCH_0101,Mainland China Outlet 120,Dining_Out,Pune,Maharashtra,21,Hybrid,False
MERCH_0102,Practo Outlet 770,Healthcare,Ludhiana,Punjab,25,Online,False
MERCH_0103,IRCTC Outlet 668,Travel,Trivandrum,Kerala,16,Retail,True
MERCH_0104,Cred RentPay Outlet 485,Rent,Bangalore,Karnataka,24,Retail,False
MERCH_0105,Disney VIP Digital,Subscription,Noida,Uttar Pradesh,30,Online,False
MERCH_0106,Airtel Fiber Outlet 111,Utility,Ahmedabad,Gujarat,28,Online,False
MERCH_0107,Society Maintenance Outlet 770,Rent,Ludhiana,Punjab,18,Retail,False
MERCH_0108,Local Pub Outlet 760,Dining_Out,Delhi,Delhi,39,Hybrid,True
MERCH_0109,MakeMyTrip Outlet 346,Travel,Noida,Uttar Pradesh,12,Hybrid,False
MERCH_0110,Hard Rock Cafe Outlet 846,Dining_Out,Jaipur,Rajasthan,35,Hybrid,True
MERCH_0111,Zara Outlet 692,Shopping,Nagpur,Maharashtra,25,Retail,False
MERCH_0112,Taj Dining Outlet 66,Dining_Out,Lucknow,Uttar Pradesh,12,Retail,False
MERCH_0113,Disney+ Hotstar Outlet 656,Entertainment,Nagpur,Maharashtra,29,Online,False
MERCH_0114,Reliance Petroleum Outlet 753,Fuel,Chennai,Tamil Nadu,13,Retail,False
MERCH_0115,Social Outlet 712,Dining_Out,Chennai,Tamil Nadu,38,Retail,False
MERCH_0116,IRCTC Outlet 84,Travel,Nagpur,Maharashtra,18,Online,False
MERCH_0117,BigBasket Outlet 132,Grocery,Mysore,Karnataka,44,Online,False
MERCH_0118,Airtel Fiber Outlet 665,Utility,Mysore,Karnataka,6,Online,False
MERCH_0119,Hardware Store Outlet 299,Other,Hyderabad,Telangana,27,Retail,True
MERCH_0120,BookMyShow Outlet 639,Entertainment,Hyderabad,Telangana,5,Online,False
MERCH_0121,Reliance Petroleum Outlet 542,Fuel,Ludhiana,Punjab,29,Retail,True
MERCH_0122,Spotify Outlet 553,Entertainment,Kolkata,West Bengal,12,Retail,True
MERCH_0123,DMart Outlet 421,Grocery,Udaipur,Rajasthan,28,Hybrid,False
MERCH_0124,Hardware Store Outlet 214,Other,Chennai,Tamil Nadu,35,Retail,False
MERCH_0125,MedPlus Outlet 648,Healthcare,Ahmedabad,Gujarat,19,Online,True
MERCH_0126,Jio Fiber Outlet 163,Utility,Chandigarh,Punjab,42,Online,True
MERCH_0127,Nature's Basket Outlet 946,Grocery,Mysore,Karnataka,33,Hybrid,False
MERCH_0128,Cred RentPay Outlet 146,Rent,Pune,Maharashtra,40,Retail,False
MERCH_0129,AngelOne Deposit Digital,Investment,Noida,Uttar Pradesh,16,Online,True
MERCH_0130,Municipal Water Outlet 227,Utility,Mumbai,Maharashtra,29,Online,True
MERCH_0131,Amazon Prime Outlet 926,Entertainment,Ahmedabad,Gujarat,37,Hybrid,False
MERCH_0132,Local Tailor Outlet 615,Other,Coimbatore,Tamil Nadu,23,Hybrid,False
MERCH_0133,Tata Power Outlet 110,Utility,Kanpur,Uttar Pradesh,39,Online,True
MERCH_0134,SBI General Insurance Outlet 245,Insurance,Coimbatore,Tamil Nadu,17,Retail,False
MERCH_0135,Indigo Outlet 537,Travel,Coimbatore,Tamil Nadu,15,Retail,False
MERCH_0136,Domino's Outlet 630,Food,Jaipur,Rajasthan,13,Hybrid,True
MERCH_0137,Punjab Grill Outlet 335,Dining_Out,Surat,Gujarat,32,Retail,True
MERCH_0138,Yatra Outlet 261,Travel,Ahmedabad,Gujarat,14,Online,False
MERCH_0139,Bharat Petroleum Outlet 567,Fuel,Jaipur,Rajasthan,28,Retail,True
MERCH_0140,Booking.com Outlet 684,Travel,Nagpur,Maharashtra,21,Retail,False
MERCH_0141,AngelOne Deposit Digital,Investment,Delhi,Delhi,30,Online,False
MERCH_0142,Netflix Outlet 793,Entertainment,Lucknow,Uttar Pradesh,32,Retail,False
MERCH_0143,Nykaa Outlet 691,Shopping,Lucknow,Uttar Pradesh,38,Online,False
MERCH_0144,Indian Oil Outlet 42,Fuel,Hyderabad,Telangana,16,Retail,False
MERCH_0145,Mutual Fund Direct Digital,Investment,Lucknow,Uttar Pradesh,36,Online,False
MERCH_0146,PVR Cinemas Outlet 513,Entertainment,Chennai,Tamil Nadu,8,Hybrid,False
MERCH_0147,Groww SIP Digital,Investment,Pune,Maharashtra,19,Online,False
MERCH_0148,Booking.com Outlet 113,Travel,Coimbatore,Tamil Nadu,36,Retail,False
MERCH_0149,Disney VIP Digital,Subscription,Coimbatore,Tamil Nadu,30,Online,True
MERCH_0150,Tata Power Outlet 403,Utility,Jaipur,Rajasthan,17,Online,False
MERCH_0151,MakeMyTrip Outlet 58,Travel,Lucknow,Uttar Pradesh,28,Retail,False
MERCH_0152,Local Tailor Outlet 695,Other,Chandigarh,Punjab,9,Online,False
MERCH_0153,Amazon Outlet 955,Shopping,Mysore,Karnataka,19,Online,False
MERCH_0154,Max Life Insurance Outlet 399,Insurance,Mysore,Karnataka,22,Retail,False
MERCH_0155,AngelOne Deposit Digital,Investment,Mysore,Karnataka,37,Online,False
MERCH_0156,Groww SIP Digital,Investment,Ahmedabad,Gujarat,10,Online,True
MERCH_0157,Punjab Grill Outlet 569,Dining_Out,Surat,Gujarat,29,Retail,False
MERCH_0158,Disney+ Hotstar Outlet 895,Entertainment,Chandigarh,Punjab,8,Hybrid,False
MERCH_0159,Groww SIP Digital,Investment,Noida,Uttar Pradesh,20,Online,False
MERCH_0160,Apollo Clinic Outlet 371,Healthcare,Chennai,Tamil Nadu,40,Hybrid,True
MERCH_0161,Cred RentPay Outlet 602,Rent,Kochi,Kerala,26,Retail,False
MERCH_0162,DPS School Outlet 83,Education,Delhi,Delhi,32,Retail,False
MERCH_0163,Bharat Petroleum Outlet 773,Fuel,Chennai,Tamil Nadu,12,Retail,False
MERCH_0164,Housing Rent Transfer Outlet 358,Rent,Nagpur,Maharashtra,14,Retail,True
MERCH_0165,BookMyShow Outlet 555,Entertainment,Ludhiana,Punjab,29,Online,False
MERCH_0166,Punjab Grill Outlet 413,Dining_Out,Trivandrum,Kerala,39,Online,False
MERCH_0167,Indraprastha Gas Outlet 26,Utility,Chandigarh,Punjab,33,Online,False
MERCH_0168,MakeMyTrip Outlet 123,Travel,Mumbai,Maharashtra,24,Hybrid,False
MERCH_0169,Housing Rent Transfer Outlet 114,Rent,Bangalore,Karnataka,21,Retail,False
MERCH_0170,Zerodha Fund Digital,Investment,Delhi,Delhi,15,Online,False
MERCH_0171,Youtube Premium Digital,Subscription,Ludhiana,Punjab,11,Online,False
MERCH_0172,Jio Fiber Outlet 414,Utility,Udaipur,Rajasthan,24,Online,False
MERCH_0173,NPS Contribution Digital,Investment,Chennai,Tamil Nadu,23,Online,True
MERCH_0174,LIC India Outlet 484,Insurance,Delhi,Delhi,39,Online,False
MERCH_0175,Pet Shop Outlet 49,Other,Delhi,Delhi,28,Retail,False
MERCH_0176,Local Kirana Outlet 442,Grocery,Trivandrum,Kerala,27,Online,True
MERCH_0177,Max Life Insurance Outlet 839,Insurance,Coimbatore,Tamil Nadu,94,Retail,False
MERCH_0178,Udemy Outlet 689,Education,Hyderabad,Telangana,25,Online,False
MERCH_0179,Taj Dining Outlet 824,Dining_Out,Delhi,Delhi,42,Hybrid,False
MERCH_0180,Local Tailor Outlet 974,Other,Jaipur,Rajasthan,34,Retail,False
MERCH_0181,Cred RentPay Outlet 215,Rent,Kanpur,Uttar Pradesh,40,Retail,True
MERCH_0182,Nykaa Outlet 319,Shopping,Trivandrum,Kerala,20,Hybrid,False
MERCH_0183,Adani Electricity Outlet 41,Utility,Pune,Maharashtra,13,Online,False
MERCH_0184,Indraprastha Gas Outlet 514,Utility,Noida,Uttar Pradesh,29,Online,False
MERCH_0185,Amazon Outlet 842,Shopping,Ludhiana,Punjab,28,Retail,False
MERCH_0186,BookMyShow Outlet 207,Entertainment,Mumbai,Maharashtra,43,Online,False
MERCH_0187,Starbucks Outlet 772,Food,Coimbatore,Tamil Nadu,17,Retail,False
MERCH_0188,Yatra Outlet 524,Travel,Noida,Uttar Pradesh,16,Hybrid,False
MERCH_0189,Zomato Outlet 972,Food,Lucknow,Uttar Pradesh,36,Retail,True
MERCH_0190,Society Maintenance Outlet 428,Rent,Chennai,Tamil Nadu,37,Retail,False
MERCH_0191,Netflix Outlet 737,Entertainment,Ludhiana,Punjab,37,Online,False
MERCH_0192,Indian Oil Outlet 462,Fuel,Kanpur,Uttar Pradesh,17,Retail,False
MERCH_0193,Spotify Family Digital,Subscription,Ahmedabad,Gujarat,24,Online,False
MERCH_0194,Inox Outlet 385,Entertainment,Ludhiana,Punjab,12,Hybrid,False
MERCH_0195,BookMyShow Outlet 635,Entertainment,Kanpur,Uttar Pradesh,22,Online,False
MERCH_0196,Max Life Insurance Outlet 340,Insurance,Bangalore,Karnataka,21,Retail,False
MERCH_0197,Simplilearn Outlet 855,Education,Bangalore,Karnataka,37,Retail,True
MERCH_0198,BYJU'S Outlet 735,Education,Bangalore,Karnataka,34,Hybrid,False
MERCH_0199,Domino's Outlet 703,Food,Hyderabad,Telangana,18,Hybrid,False
MERCH_0200,Decathlon Outlet 413,Shopping,Chandigarh,Punjab,12,Retail,False
MERCH_0201,Tata Power Outlet 331,Utility,Mysore,Karnataka,32,Online,False
MERCH_0202,Blinkit Outlet 434,Grocery,Noida,Uttar Pradesh,16,Hybrid,False
MERCH_0203,Adani Electricity Outlet 354,Utility,Nagpur,Maharashtra,28,Online,False
MERCH_0204,BESCOM Outlet 448,Utility,Hyderabad,Telangana,42,Online,False
MERCH_0205,Air India Outlet 605,Travel,Nagpur,Maharashtra,34,Online,True
MERCH_0206,Taj Dining Outlet 728,Dining_Out,Kolkata,West Bengal,36,Retail,False
MERCH_0207,Indigo Outlet 422,Travel,Delhi,Delhi,30,Online,True
MERCH_0208,Pet Shop Outlet 671,Other,Ludhiana,Punjab,26,Retail,False
MERCH_0209,Mutual Fund Direct Digital,Investment,Mumbai,Maharashtra,73,Online,False
MERCH_0210,Air India Outlet 906,Travel,Kolkata,West Bengal,36,Retail,False
MERCH_0211,Local Restaurant Outlet 379,Food,Chandigarh,Punjab,25,Hybrid,False
MERCH_0212,Hardware Store Outlet 614,Other,Coimbatore,Tamil Nadu,23,Online,False
MERCH_0213,Udemy Outlet 955,Education,Kochi,Kerala,43,Online,False
MERCH_0214,Hardware Store Outlet 56,Other,Mumbai,Maharashtra,9,Hybrid,True
MERCH_0215,Fortis Hospital Outlet 70,Healthcare,Chandigarh,Punjab,37,Hybrid,False
MERCH_0216,HDFC Ergo Outlet 347,Insurance,Mysore,Karnataka,40,Hybrid,False
MERCH_0217,Practo Outlet 396,Healthcare,Kolkata,West Bengal,31,Retail,False
MERCH_0218,HDFC Ergo Outlet 730,Insurance,Coimbatore,Tamil Nadu,29,Hybrid,False
MERCH_0219,Netflix Premium Digital,Subscription,Bangalore,Karnataka,25,Online,False
MERCH_0220,Cred RentPay Outlet 197,Rent,Mysore,Karnataka,40,Retail,False
MERCH_0221,Shell Petrol Outlet 539,Fuel,Pune,Maharashtra,15,Retail,True
MERCH_0222,IRCTC Outlet 265,Travel,Hyderabad,Telangana,28,Hybrid,False
MERCH_0223,Taj Dining Outlet 943,Dining_Out,Chandigarh,Punjab,42,Retail,True
MERCH_0224,NPS Contribution Digital,Investment,Noida,Uttar Pradesh,25,Online,False
MERCH_0225,Mutual Fund Direct Digital,Investment,Ludhiana,Punjab,9,Online,False
MERCH_0226,Spotify Family Digital,Subscription,Kolkata,West Bengal,25,Online,False
MERCH_0227,Ola Outlet 162,Travel,Jaipur,Rajasthan,36,Hybrid,False
MERCH_0228,Booking.com Outlet 186,Travel,Kolkata,West Bengal,20,Online,False
MERCH_0229,Zerodha Fund Digital,Investment,Mysore,Karnataka,39,Online,True
MERCH_0230,Nykaa Outlet 435,Shopping,Noida,Uttar Pradesh,20,Hybrid,False
MERCH_0231,Gift Gallery Outlet 466,Other,Lucknow,Uttar Pradesh,17,Retail,False
MERCH_0232,Amazon Prime Outlet 410,Entertainment,Chennai,Tamil Nadu,41,Retail,False
MERCH_0233,LIC India Outlet 423,Insurance,Noida,Uttar Pradesh,36,Retail,False
MERCH_0234,Adani Electricity Outlet 124,Utility,Delhi,Delhi,32,Online,True
MERCH_0235,Spotify Outlet 767,Entertainment,Ludhiana,Punjab,32,Hybrid,False
MERCH_0236,Local Tailor Outlet 967,Other,Mumbai,Maharashtra,14,Hybrid,False
MERCH_0237,Groww SIP Digital,Investment,Pune,Maharashtra,5,Online,True
MERCH_0238,Salon & Spa Outlet 569,Other,Noida,Uttar Pradesh,33,Hybrid,True
MERCH_0239,Tata Power Outlet 80,Utility,Jaipur,Rajasthan,7,Online,False
MERCH_0240,Amazon Prime Outlet 202,Entertainment,Noida,Uttar Pradesh,29,Hybrid,False
MERCH_0241,Salon & Spa Outlet 638,Other,Ahmedabad,Gujarat,20,Online,False
MERCH_0242,Coursera Outlet 102,Education,Kanpur,Uttar Pradesh,11,Retail,False
MERCH_0243,Social Outlet 946,Dining_Out,Jaipur,Rajasthan,15,Online,False
MERCH_0244,Udemy Outlet 444,Education,Kanpur,Uttar Pradesh,12,Retail,False
MERCH_0245,Local Tailor Outlet 881,Other,Delhi,Delhi,22,Retail,False
MERCH_0246,Ajio Outlet 969,Shopping,Kolkata,West Bengal,23,Hybrid,False
MERCH_0247,Fortis Hospital Outlet 960,Healthcare,Delhi,Delhi,15,Retail,False
MERCH_0248,NoBroker Rent Outlet 244,Rent,Pune,Maharashtra,13,Retail,False
MERCH_0249,Zerodha Fund Digital,Investment,Delhi,Delhi,41,Online,False
MERCH_0250,Airtel Fiber Outlet 730,Utility,Nagpur,Maharashtra,33,Online,True
MERCH_0251,Amity University Outlet 229,Education,Mysore,Karnataka,21,Hybrid,False
MERCH_0252,Bharat Petroleum Outlet 813,Fuel,Kolkata,West Bengal,26,Retail,True
MERCH_0253,Jio Fiber Outlet 278,Utility,Ahmedabad,Gujarat,12,Online,True
MERCH_0254,AngelOne Deposit Digital,Investment,Pune,Maharashtra,16,Online,False
MERCH_0255,Local Tailor Outlet 739,Other,Pune,Maharashtra,30,Hybrid,False
MERCH_0256,Subway Outlet 514,Food,Lucknow,Uttar Pradesh,7,Retail,True
MERCH_0257,Max Life Insurance Outlet 165,Insurance,Trivandrum,Kerala,17,Hybrid,False
MERCH_0258,Westside Outlet 446,Shopping,Lucknow,Uttar Pradesh,36,Hybrid,False
MERCH_0259,Max Healthcare Outlet 878,Healthcare,Kochi,Kerala,32,Online,False
MERCH_0260,Zara Outlet 902,Shopping,Trivandrum,Kerala,19,Online,False
MERCH_0261,HDFC Ergo Outlet 697,Insurance,Mysore,Karnataka,44,Hybrid,False
MERCH_0262,Apollo Clinic Outlet 239,Healthcare,Chandigarh,Punjab,15,Online,False
MERCH_0263,Ajio Outlet 661,Shopping,Ahmedabad,Gujarat,31,Online,False
MERCH_0264,AngelOne Deposit Digital,Investment,Nagpur,Maharashtra,20,Online,False
MERCH_0265,Punjab Grill Outlet 468,Dining_Out,Trivandrum,Kerala,15,Retail,False
MERCH_0266,Hindustan Petroleum Outlet 607,Fuel,Mysore,Karnataka,93,Retail,False
MERCH_0267,Uber Outlet 216,Travel,Ahmedabad,Gujarat,72,Online,False
MERCH_0268,BESCOM Outlet 546,Utility,Delhi,Delhi,23,Online,False
MERCH_0269,AngelOne Deposit Digital,Investment,Kochi,Kerala,27,Online,False
MERCH_0270,Netflix Outlet 718,Entertainment,Bangalore,Karnataka,16,Retail,False
MERCH_0271,Local Restaurant Outlet 477,Food,Mysore,Karnataka,15,Hybrid,False
MERCH_0272,Cred RentPay Outlet 703,Rent,Chandigarh,Punjab,15,Retail,False
MERCH_0273,PVR Cinemas Outlet 580,Entertainment,Coimbatore,Tamil Nadu,26,Hybrid,False
MERCH_0274,Netflix Outlet 202,Entertainment,Lucknow,Uttar Pradesh,26,Retail,False
MERCH_0275,Starbucks Outlet 413,Food,Chandigarh,Punjab,19,Retail,False
MERCH_0276,Myntra Outlet 165,Shopping,Jaipur,Rajasthan,41,Online,False
MERCH_0277,IRCTC Outlet 547,Travel,Ahmedabad,Gujarat,44,Hybrid,True
MERCH_0278,Apollo Clinic Outlet 305,Healthcare,Noida,Uttar Pradesh,20,Retail,False
MERCH_0279,Smaaash Outlet 54,Entertainment,Lucknow,Uttar Pradesh,31,Online,False
MERCH_0280,Local Tailor Outlet 940,Other,Ludhiana,Punjab,21,Hybrid,False
MERCH_0281,Amity University Outlet 616,Education,Trivandrum,Kerala,24,Hybrid,False
MERCH_0282,Netflix Premium Digital,Subscription,Noida,Uttar Pradesh,34,Online,True
MERCH_0283,NoBroker Rent Outlet 955,Rent,Hyderabad,Telangana,38,Retail,False
MERCH_0284,Decathlon Outlet 915,Shopping,Kochi,Kerala,24,Hybrid,False
MERCH_0285,Simplilearn Outlet 65,Education,Chennai,Tamil Nadu,12,Online,True
MERCH_0286,Youtube Premium Digital,Subscription,Hyderabad,Telangana,40,Online,False
MERCH_0287,Yatra Outlet 803,Travel,Delhi,Delhi,42,Hybrid,False
MERCH_0288,Local Clinic Outlet 799,Healthcare,Pune,Maharashtra,15,Retail,False
MERCH_0289,Bharat Petroleum Outlet 433,Fuel,Udaipur,Rajasthan,27,Retail,False
MERCH_0290,Dry Cleaners Outlet 834,Other,Kolkata,West Bengal,38,Online,True
MERCH_0291,Udemy Outlet 380,Education,Surat,Gujarat,19,Retail,False
MERCH_0292,Salon & Spa Outlet 858,Other,Coimbatore,Tamil Nadu,30,Hybrid,False
MERCH_0293,Zerodha Fund Digital,Investment,Surat,Gujarat,23,Online,True
MERCH_0294,Spencer's Outlet 816,Grocery,Delhi,Delhi,36,Retail,False
MERCH_0295,Zerodha Fund Digital,Investment,Noida,Uttar Pradesh,23,Online,False
MERCH_0296,Indraprastha Gas Outlet 616,Utility,Delhi,Delhi,12,Online,False
MERCH_0297,NoBroker Rent Outlet 200,Rent,Mysore,Karnataka,34,Retail,True
MERCH_0298,Groww SIP Digital,Investment,Kanpur,Uttar Pradesh,42,Online,False
MERCH_0299,DAV College Outlet 215,Education,Nagpur,Maharashtra,16,Online,False
MERCH_0300,NPS Contribution Digital,Investment,Kochi,Kerala,35,Online,False
