Customer_ID,Fraud_Flag,Fraud_Risk_Score,Overall_Risk_Score,Failed_Login_Count,New_Device_Login_Frequency,Unusual_Login_Flag,Account_Takeover_Risk,High_Value_Transaction_Count,Suspicious_Transaction_Count,Beneficiary_Change_Frequency,Device_Trust_Score,Velocity_Score,Geo_Anomaly_Flag,Security_Awareness_Score
CUST_00170,False,32,17,0,Low,False,15,3,0,Low,99,27,False,95
CUST_00171,False,6,8,1,Low,False,11,0,0,Medium,81,23,False,73
CUST_00172,True,75,34,4,High,True,60,0,1,High,5,83,True,22
CUST_00173,True,85,37,5,High,True,94,3,1,High,10,90,True,28
CUST_00174,False,26,15,0,Low,False,17,0,0,Low,82,32,False,71
CUST_00175,False,6,7,0,Low,False,22,3,0,Low,91,38,False,71
CUST_00176,False,2,7,0,Low,False,13,0,0,Low,94,43,False,54
CUST_00177,False,5,8,0,Low,False,34,3,0,Low,73,34,False,65
CUST_00178,False,29,18,0,Low,False,26,3,0,Low,80,17,False,70
CUST_00179,True,77,39,5,High,True,61,0,2,Medium,7,81,True,34
CUST_00180,False,27,15,0,Low,False,34,3,0,Low,97,5,False,97
CUST_00181,False,10,10,0,Low,False,21,0,0,Low,77,16,False,88
CUST_00182,False,1,5,2,Low,False,32,3,0,Low,97,32,False,53
CUST_00183,True,84,41,3,High,True,75,3,3,Medium,11,91,True,19
CUST_00184,True,80,35,5,High,True,91,0,1,High,6,88,True,24
CUST_00185,False,13,11,0,Low,False,23,3,0,Low,78,18,False,69
CUST_00186,False,46,27,2,Low,False,21,0,0,Low,84,27,False,79
CUST_00187,False,48,28,0,Low,False,16,3,0,Low,80,28,False,99
CUST_00188,False,22,27,0,Low,False,24,0,0,Low,83,19,False,76
CUST_00189,False,19,12,0,Low,False,26,3,0,Low,77,8,False,63
CUST_00190,False,1,5,1,Low,False,15,3,0,Low,76,32,False,94
CUST_00191,False,4,9,0,Medium,False,7,0,0,Low,75,35,False,58
CUST_00192,True,80,33,2,High,True,60,1,1,Medium,5,82,True,32
CUST_00193,False,5,10,1,Low,False,11,0,0,Low,95,20,False,53
CUST_00194,False,19,15,0,Low,False,31,3,0,Low,94,11,False,66
CUST_00195,True,90,52,2,High,True,69,0,1,High,10,78,True,35
CUST_00196,True,84,40,4,High,True,79,3,1,Medium,20,80,True,31
CUST_00197,False,21,16,0,Low,False,30,0,0,Low,72,11,False,80
CUST_00198,False,9,9,0,Low,False,22,0,0,Low,84,31,False,89
CUST_00199,True,84,36,2,High,True,72,3,1,Medium,13,97,True,39
CUST_00200,False,4,9,0,Low,False,23,0,0,Low,80,6,False,86
CUST_00201,False,4,7,0,Low,False,23,0,0,Low,86,18,False,98
CUST_00202,False,29,19,0,Low,False,29,0,0,Medium,70,17,False,70
CUST_00203,False,24,17,0,Low,True,7,3,0,Low,83,26,False,95
CUST_00204,False,9,9,0,Low,False,9,0,0,Low,84,6,False,59
CUST_00205,False,1,5,1,Low,False,27,3,0,Low,91,27,False,68
CUST_00206,False,45,27,1,Low,False,22,3,0,Medium,88,17,False,86
CUST_00207,False,30,20,1,Low,False,32,3,0,Medium,89,31,False,70
CUST_00208,False,16,13,1,Low,False,30,0,0,Low,94,38,False,62
CUST_00209,True,78,39,5,High,True,71,3,3,Medium,27,96,True,24
CUST_00210,True,93,43,2,High,True,88,3,1,Medium,5,84,True,37
CUST_00211,False,16,14,0,Low,False,21,3,0,Low,79,6,False,77
CUST_00212,False,3,6,0,Low,False,10,3,0,Low,86,12,False,71
CUST_00213,False,10,11,0,Low,False,5,0,0,Low,86,28,False,83
CUST_00214,False,31,20,0,Low,False,24,0,0,Low,72,6,False,63
CUST_00215,False,49,38,0,Low,False,23,3,0,Low,97,29,False,79
CUST_00216,False,32,21,0,Low,False,31,0,0,Low,99,31,False,94
CUST_00217,False,5,5,0,Medium,False,32,3,0,Low,83,33,False,85
CUST_00218,False,16,13,1,Low,False,31,0,0,Low,99,17,False,82
CUST_00219,False,17,9,0,Low,False,15,0,0,Low,82,17,False,58
CUST_00220,False,22,16,0,Low,False,26,3,0,Medium,79,42,False,97
CUST_00221,True,84,44,2,High,True,92,0,1,Low,22,79,True,15
CUST_00222,True,83,38,2,High,True,76,6,1,High,26,83,True,24
CUST_00223,False,11,17,0,Low,False,17,0,0,Low,94,29,False,71
CUST_00224,False,22,15,0,Low,False,9,6,0,Low,83,19,False,57
CUST_00225,False,16,12,0,Low,False,29,0,0,Low,98,20,False,93
CUST_00226,True,94,42,5,High,True,75,3,3,Low,28,72,True,17
CUST_00227,True,92,51,5,High,True,72,0,1,Medium,5,70,True,18
CUST_00228,False,9,11,0,Low,False,16,3,0,Low,80,28,False,50
CUST_00229,False,33,18,0,Medium,True,21,3,0,Low,75,28,False,98
CUST_00230,True,90,55,3,High,True,73,0,2,Low,13,91,True,35
CUST_00231,True,80,37,2,High,True,83,7,1,High,11,76,True,34
CUST_00232,False,5,8,1,Low,False,14,0,0,Low,97,10,False,78
CUST_00233,False,29,18,0,Low,False,7,3,0,Low,88,36,False,68
CUST_00234,False,28,18,0,Medium,False,17,0,0,Low,81,26,False,53
CUST_00235,True,90,44,4,High,True,69,3,1,Medium,13,90,True,23
CUST_00236,False,10,10,1,Medium,False,14,3,0,Low,97,31,False,90
CUST_00237,False,5,17,1,Low,False,20,0,0,Low,70,13,False,80
CUST_00238,False,9,9,0,Low,False,29,3,0,Low,90,10,False,91
CUST_00239,True,82,38,2,High,True,63,0,1,High,9,71,True,19
CUST_00240,False,47,29,0,Low,False,7,0,0,Medium,80,19,False,82
CUST_00241,False,19,12,0,Low,False,7,0,0,Low,86,43,False,77
CUST_00242,False,21,12,0,Low,False,23,6,0,Medium,81,22,False,69
CUST_00243,False,4,6,0,Low,False,29,3,0,Low,89,37,False,66
CUST_00244,True,89,42,3,High,True,66,3,1,High,10,77,True,23
CUST_00245,False,26,16,1,Low,False,25,3,0,Low,85,27,False,93
CUST_00246,False,19,10,0,Medium,False,14,3,0,Low,98,7,False,51
CUST_00247,True,92,41,5,High,True,66,3,1,High,27,82,True,43
CUST_00248,False,1,5,0,Medium,False,25,3,0,Medium,94,11,False,58
CUST_00249,True,76,38,3,High,True,94,0,2,High,21,94,True,30
CUST_00250,False,3,5,0,Low,False,6,3,0,Low,96,37,False,89
CUST_00251,True,78,33,4,High,True,88,3,1,High,24,81,True,38
CUST_00252,False,22,11,0,Low,False,32,3,0,Low,92,7,False,65
CUST_00253,True,84,37,3,High,True,60,3,1,Medium,15,83,True,41
CUST_00254,False,31,19,0,Low,False,30,3,0,Low,77,27,False,78
CUST_00255,True,94,42,4,High,True,85,3,1,High,6,90,True,33
CUST_00256,False,26,40,1,Low,False,26,3,0,Low,93,30,False,56
CUST_00257,True,83,35,3,High,True,83,0,1,Medium,17,94,True,19
CUST_00258,True,79,37,4,High,True,86,0,2,Low,15,71,True,13
CUST_00259,False,15,11,0,Medium,False,24,0,0,Low,84,41,False,65
CUST_00260,False,13,13,0,Medium,False,12,0,0,Low,91,23,False,74
CUST_00261,False,24,9,0,Low,False,22,3,0,Low,96,36,False,96
CUST_00262,False,13,9,0,Low,False,15,3,0,Low,79,38,False,90
CUST_00263,False,14,10,0,Low,False,17,0,0,Low,76,33,False,93
CUST_00264,False,30,15,0,Low,False,31,0,0,Low,80,21,False,50
CUST_00265,False,42,27,0,Low,False,19,0,0,Low,77,23,False,51
CUST_00266,False,44,26,2,Low,False,17,0,0,Low,79,27,False,70
CUST_00267,True,82,38,4,High,True,62,0,1,Medium,11,92,True,41
CUST_00268,False,47,29,0,Low,False,17,3,0,Low,96,19,False,59
CUST_00269,False,0,7,0,Medium,False,17,0,0,Low,83,43,False,86
CUST_00270,True,96,44,5,High,True,86,3,1,High,14,94,True,34
CUST_00271,False,25,15,0,Low,False,6,0,0,Low,79,7,False,76
CUST_00272,False,31,27,0,Medium,False,5,0,0,Low,89,28,False,83
CUST_00273,True,87,42,3,High,True,87,0,1,High,10,96,True,44
CUST_00274,False,6,6,0,Low,False,34,0,0,Low,89,17,False,52
CUST_00275,False,0,8,0,Low,False,6,0,0,Low,89,30,False,84
CUST_00276,False,27,12,1,Low,False,10,0,0,Medium,73,33,False,90
CUST_00277,False,6,10,0,Medium,False,8,3,0,Low,94,23,False,62
CUST_00278,False,24,14,0,Low,False,26,3,0,Low,86,43,False,58
CUST_00279,False,1,8,0,Low,False,6,0,0,Low,78,25,False,58
CUST_00280,True,98,44,4,High,True,92,3,1,Medium,16,97,True,20
CUST_00281,True,81,38,5,High,True,82,3,2,Medium,23,95,True,26
CUST_00282,False,6,6,0,Low,False,14,0,0,Low,75,21,False,64
CUST_00283,False,28,15,0,Low,False,5,3,0,Medium,93,16,False,68
CUST_00284,True,76,36,2,High,True,83,0,2,Medium,29,82,True,26
CUST_00285,False,28,16,0,Low,False,17,3,0,Low,82,5,False,92
CUST_00286,False,24,15,1,Low,False,16,3,0,Medium,93,21,False,92
CUST_00287,False,10,11,0,Low,False,22,0,0,Low,84,15,False,94
CUST_00288,False,35,22,2,Medium,False,19,0,0,Low,97,23,False,65
CUST_00289,True,90,48,5,High,True,87,0,1,Medium,8,81,True,37
CUST_00290,False,17,11,0,Low,False,10,0,0,Low,81,37,False,53
CUST_00291,False,13,9,0,Low,False,23,0,0,Low,92,41,False,65
CUST_00292,False,0,6,0,Low,False,21,3,0,Low,88,40,False,96
CUST_00293,False,34,21,0,Low,False,23,0,0,Low,93,26,False,84
CUST_00294,False,43,25,0,Low,False,22,0,0,Low,71,13,False,98
CUST_00295,True,93,41,4,High,True,64,4,1,Medium,13,81,True,34
CUST_00296,False,36,22,0,Low,False,30,3,0,Low,91,39,False,60
CUST_00297,False,38,24,0,Medium,False,9,3,0,Low,87,38,False,68
CUST_00298,False,0,7,0,Low,False,28,0,0,High,96,22,False,75
CUST_00299,True,90,53,5,High,True,78,0,1,Low,17,75,True,10
CUST_00300,False,28,15,2,Low,False,12,3,0,Low,92,36,False,85
CUST_00301,False,27,19,0,Low,False,31,3,0,Low,94,40,False,64
CUST_00302,False,29,18,0,Low,False,13,0,0,Low,99,17,False,80
CUST_00303,True,93,38,3,High,True,92,3,2,High,7,74,True,19
CUST_00304,True,99,47,4,High,True,94,0,1,High,8,97,True,13
CUST_00305,False,0,5,0,Low,True,8,3,0,Low,73,5,False,93
CUST_00306,False,34,22,0,Low,False,15,0,0,Medium,80,7,False,95
CUST_00307,True,88,40,4,High,True,60,3,1,High,9,93,True,20
CUST_00308,True,98,41,5,High,True,80,4,2,Low,16,95,True,15
CUST_00309,False,10,10,0,Low,False,30,0,0,Medium,78,8,False,71
CUST_00310,False,27,18,0,Low,False,8,3,0,Medium,73,28,False,65
CUST_00311,False,11,8,0,Low,False,20,0,0,Low,86,24,False,66
CUST_00312,False,26,13,0,Low,False,20,0,0,Low,70,29,False,62
CUST_00313,True,86,43,4,High,True,60,1,1,High,17,93,True,29
CUST_00314,True,88,43,5,High,True,63,3,1,High,9,74,True,20
CUST_00315,True,93,47,2,High,True,90,3,1,Medium,29,77,True,40
CUST_00316,False,30,17,1,Low,False,33,0,0,Low,98,37,False,72
CUST_00317,False,17,9,0,Low,False,32,0,0,Low,82,20,False,92
CUST_00318,False,21,17,0,Low,False,12,3,0,Low,78,43,False,71
CUST_00319,False,3,9,0,Low,False,14,0,0,Low,76,18,False,85
CUST_00320,False,29,14,0,Low,False,30,3,0,Low,98,10,False,85
CUST_00321,False,21,12,0,Low,True,32,0,0,Low,86,31,False,54
CUST_00322,False,22,19,0,Low,False,8,3,0,Low,80,7,False,58
CUST_00323,True,82,39,5,High,True,62,3,1,High,7,86,True,32
CUST_00324,False,16,8,0,Low,False,16,3,0,Low,90,8,False,80
CUST_00325,False,11,12,0,Low,False,33,3,0,Medium,81,35,False,72
CUST_00326,False,12,8,1,Medium,False,11,3,0,Low,78,8,False,92
CUST_00327,False,21,11,0,Low,False,6,3,0,Low,89,21,False,84
CUST_00328,False,4,8,0,Low,True,26,0,0,Low,73,33,False,79
CUST_00329,True,80,45,3,High,True,85,6,2,Medium,18,75,True,32
CUST_00330,False,27,19,0,Low,False,25,0,0,Medium,92,23,False,53
CUST_00331,True,79,41,2,High,True,92,3,1,Medium,6,81,True,27
CUST_00332,False,2,14,0,Low,False,32,0,0,Medium,82,27,False,85
CUST_00333,False,13,11,0,Medium,False,6,3,0,Low,98,11,False,61
CUST_00334,False,10,11,0,Low,False,20,3,0,Low,95,32,False,89
CUST_00335,False,26,18,0,Medium,False,32,0,0,Low,98,36,False,99
CUST_00336,False,15,9,0,Low,False,30,0,0,Low,76,13,False,63
CUST_00337,False,19,12,1,Medium,False,22,3,0,Low,88,6,False,74
CUST_00338,False,12,9,1,Low,False,13,3,0,Low,81,42,False,87
CUST_00339,True,88,41,2,High,True,84,3,1,Medium,5,94,True,19
CUST_00340,False,13,11,0,Low,False,16,0,0,Low,79,25,False,52
CUST_00341,False,33,20,0,Low,False,31,0,0,Low,70,23,False,86
CUST_00342,True,82,33,2,High,True,64,3,2,High,14,94,True,19
CUST_00343,False,6,7,1,Low,False,20,0,0,Low,79,32,False,81
CUST_00344,False,9,9,1,Low,False,31,6,0,Low,90,21,False,86
CUST_00345,True,97,44,3,High,True,91,0,1,High,25,86,True,37
CUST_00346,False,9,9,2,Low,False,33,3,0,Low,71,34,False,75
CUST_00347,True,88,40,2,High,True,68,0,1,Medium,10,91,True,18
CUST_00348,False,15,13,0,Low,False,28,0,0,Low,77,10,False,67
CUST_00349,False,29,17,0,Low,False,27,3,0,Low,73,34,False,53
CUST_00350,False,36,27,0,Low,False,28,3,0,Low,90,11,False,95
CUST_00351,True,85,40,4,High,True,70,0,1,Low,6,86,True,16
CUST_00352,False,18,10,1,Low,False,30,0,0,Low,94,22,False,64
CUST_00353,False,26,15,0,Low,False,18,0,0,Low,76,20,False,54
CUST_00354,False,47,27,0,Low,False,32,3,0,Low,72,24,False,84
CUST_00355,False,45,31,0,Low,False,21,0,0,Low,86,28,False,88
CUST_00356,False,5,29,0,Low,False,18,0,0,Medium,84,12,False,74
CUST_00357,False,35,23,0,Low,False,7,3,0,Low,81,7,False,68
CUST_00358,False,11,9,0,Low,False,28,0,0,Low,96,13,False,77
CUST_00359,False,38,25,2,Low,False,23,0,0,Low,95,11,False,74
CUST_00360,True,98,44,2,High,True,63,3,1,Low,29,90,True,14
CUST_00361,False,22,16,0,Low,False,34,3,0,Low,91,14,False,89
CUST_00362,False,28,19,0,Low,False,21,3,0,Low,85,37,False,65
CUST_00363,False,7,10,1,Low,False,11,0,0,Low,73,40,False,84
CUST_00364,True,89,41,5,High,True,94,0,1,High,6,90,True,28
CUST_00365,False,5,6,0,Low,False,9,0,0,Low,90,24,False,63
CUST_00366,False,15,10,0,Low,False,17,3,0,Low,76,9,False,72
CUST_00367,True,76,35,5,High,True,78,0,3,Medium,6,80,True,23
CUST_00368,False,10,8,0,Low,False,14,3,0,Low,89,31,False,74
CUST_00369,False,32,17,0,Low,False,27,3,0,Medium,90,27,False,52
CUST_00370,True,98,48,3,High,True,70,3,1,Low,29,74,True,42
